Area,BBC region,LA Region,weekly median by workplace,monthly,annual gross,Net pay per year after tax and NI,Monthly take home pay,30% of take home pay,Mean studio,Mean room in house,Mean one bed,Mean two bed,Mean studio difference,Mean room difference,Mean one bed difference,Mean two bed difference,
ENGLAND,,,532.6,2307.93,27695,21999.94,1833.33,550,641,382,694,760,-91,167.9984,-144,-210,
Hyndburn,North West,North West,454.5,1969.5,23634,19238.32,1603.19,480.96,..,271,377,415,#VALUE!,209.958,103.96,65.96,
Hartlepool,North East,North East,495.2,2145.87,25750,20677.47,1723.12,516.94,303,272,381,432,213.94,244.9368,135.94,84.94,
Sunderland,North East,North East,455.9,1975.57,23707,19287.82,1607.32,482.2,..,272,424,501,#VALUE!,210.1956,58.2,-18.8,
Blackburn with Darwen,North West,North West,413,1789.67,21476,17770.88,1480.91,444.27,..,282,400,443,#VALUE!,162.272,44.27,1.27,
Tyne and Wear MC,North East,North East,485.2,2102.53,25230,20323.87,1693.66,508.1,399,300,454,514,109.1,208.0968,54.1,-5.9,
St. Helens,North West,North West,480.1,2080.43,24965,20143.54,1678.63,503.59,.,300,388,455,#VALUE!,203.5884,115.59,48.59,
Newcastle upon Tyne,North East,North East,496,2149.33,25792,20705.76,1725.48,517.64,430,301,499,587,87.64,216.644,18.64,-69.36,
South Tyneside,North East,North East,475.8,2061.8,24742,19991.49,1665.96,499.79,..,302,398,462,#VALUE!,197.7872,101.79,37.79,
Barrow-in-Furness,North East,North West,492.8,2135.47,25626,20592.61,1716.05,514.82,..,303,380,447,#VALUE!,211.8152,134.82,67.82,
Darlington,North East,North East,484,2097.33,25168,20281.44,1690.12,507.04,320,306,365,434,187.04,201.036,142.04,73.04,
Carlisle,North East,North West,428,1854.67,22256,18301.28,1525.11,457.53,306,308,379,449,151.53,149.532,78.53,8.53,
Preston,North West,North West,435.1,1885.43,22625,18552.34,1546.03,463.81,376,310,444,539,87.81,153.8084,19.81,-75.19,
Bury,North West,North West,516.8,2239.47,26874,21441.25,1786.77,536.03,354,311,435,537,182.03,225.0312,101.03,-0.97,
NORTH EAST,,North East,484.8,2100.8,25210,20309.73,1692.48,507.74,353,318,407,471,154.74,189.7432,100.74,36.74,
Tameside,North West,North West,447.3,1938.3,23260,18983.73,1581.98,474.59,337,318,410,489,137.59,156.5932,64.59,-14.41,
Cumbria,North East,North West,499,2162.33,25948,20811.84,1734.32,520.3,343,321,407,483,177.3,199.296,113.3,37.3,
Cheshire East,North West,North West,536.6,2325.27,27903,22141.38,1845.11,553.53,389,322,468,613,164.53,231.5344,85.53,-59.47,
Redcar and Cleveland,North East,North East,505.5,2190.5,26286,21041.68,1753.47,526.04,.,323,382,475,#VALUE!,203.042,144.04,51.04,
Middlesbrough,North East,North East,467.6,2026.27,24315,19701.54,1641.79,492.54,..,327,419,466,#VALUE!,165.5384,73.54,26.54,
Wigan,North West,North West,503.4,2181.4,26177,20967.42,1747.29,524.19,383,329,371,451,141.19,195.1856,153.19,73.19,
Lancaster,North West,North West,492.7,2135.03,25620,20589.07,1715.76,514.73,511,329,445,553,3.73,185.7268,69.73,-38.27,
South Lakeland,North East,North West,518.4,2246.4,26957,21497.82,1791.49,537.45,394,334,482,589,143.45,203.4456,55.45,-51.55,
Liverpool,North West,North West,480.5,2082.17,24986,20157.68,1679.81,503.94,379,336,479,558,124.94,167.942,24.94,-54.06,
County Durham,North East,North East,480.7,2083.03,24996,20164.75,1680.4,504.12,387,338,371,418,117.12,166.1188,133.12,86.12,5
Merseyside MC,North West,North West,487.6,2112.93,25355,20408.74,1700.73,510.22,354,339,440,525,156.22,171.2184,70.22,-14.78,
Wyre,North West,North West,494,2140.67,25688,20635.04,1719.59,515.88,312,342,409,539,203.88,173.876,106.88,-23.12,
Sefton,North West,North West,471,2041,24492,19821.76,1651.81,495.54,334,342,418,549,161.54,153.544,77.54,-53.46,
Lancashire,North West,North West,479.2,2076.53,24918,20111.71,1675.98,502.79,351,343,416,493,151.79,159.7928,86.79,9.79,
NORTH WEST,North West,North West,492,2132,25584,20564.32,1713.69,514.11,384,344,454,540,130.11,170.108,60.11,-25.89,
Blackpool,North West,North West,392.4,1700.4,20405,17042.46,1420.21,426.06,330,345,403,510,96.06,81.0616,23.06,-83.94,
Trafford,North West,North West,565.6,2450.93,29411,23166.82,1930.57,579.17,431,348,547,741,148.17,231.1704,32.17,-161.83,
Northumberland,North East,North East,479.6,2078.27,24939,20125.86,1677.15,503.15,..,349,378,451,#VALUE!,154.1464,125.15,52.15,
Allerdale,North East,North West,533.1,2310.1,27721,22017.62,1834.8,550.44,318,354,364,455,232.44,196.4404,186.44,95.44,
