Area,LA Region,weekly median by workplace,monthly,annual gross,Net pay per year after tax and NI,Monthly take home pay,30% of take home pay,,,,,,,,,
ENGLAND,,532.6,2307.93,27695,21999.94,1833.33,550,,,,,,,,,
Hyndburn,North West,454.5,1969.5,23634,19238.32,1603.19,480.96,,,,,,,,,
Hartlepool,North East,495.2,2145.87,25750,20677.47,1723.12,516.94,,,,,,,,,
Sunderland,North East,455.9,1975.57,23707,19287.82,1607.32,482.2,,,,,,,,,
Blackburn with Darwen,North West,413,1789.67,21476,17770.88,1480.91,444.27,,,,,,,,,
Tyne and Wear MC,North East,485.2,2102.53,25230,20323.87,1693.66,508.1,,,,,,,,,
St. Helens,North West,480.1,2080.43,24965,20143.54,1678.63,503.59,,,,,,,,,
Newcastle upon Tyne,North East,496,2149.33,25792,20705.76,1725.48,517.64,,,,,,,,,
South Tyneside,North East,475.8,2061.8,24742,19991.49,1665.96,499.79,,,,,,,,,
Barrow-in-Furness,North West,492.8,2135.47,25626,20592.61,1716.05,514.82,,,,,,,,,
Darlington,North East,484,2097.33,25168,20281.44,1690.12,507.04,,,,,,,,,
Carlisle,North West,428,1854.67,22256,18301.28,1525.11,457.53,,,,,,,,,
Preston,North West,435.1,1885.43,22625,18552.34,1546.03,463.81,,,,,,,,,
Bury,North West,516.8,2239.47,26874,21441.25,1786.77,536.03,,,,,,,,,
NORTH EAST,North East,484.8,2100.8,25210,20309.73,1692.48,507.74,,,,,,,,,
Tameside,North West,447.3,1938.3,23260,18983.73,1581.98,474.59,,,,,,,,,
Cumbria,North West,499,2162.33,25948,20811.84,1734.32,520.3,,,,,,,,,
Cheshire East,North West,536.6,2325.27,27903,22141.38,1845.11,553.53,,,,,,,,,
Redcar and Cleveland,North East,505.5,2190.5,26286,21041.68,1753.47,526.04,,,,,,,,,
Middlesbrough,North East,467.6,2026.27,24315,19701.54,1641.79,492.54,,,,,,,,,
Wigan,North West,503.4,2181.4,26177,20967.42,1747.29,524.19,,,,,,,,,
Lancaster,North West,492.7,2135.03,25620,20589.07,1715.76,514.73,,,,,,,,,
South Lakeland,North West,518.4,2246.4,26957,21497.82,1791.49,537.45,,,,,,,,,
Liverpool,North West,480.5,2082.17,24986,20157.68,1679.81,503.94,,,,,,,,,
County Durham,North East,480.7,2083.03,24996,20164.75,1680.4,504.12,,,,,,,,,5
Merseyside MC,North West,487.6,2112.93,25355,20408.74,1700.73,510.22,,,,,,,,,
Wyre,North West,494,2140.67,25688,20635.04,1719.59,515.88,,,,,,,,,
Sefton,North West,471,2041,24492,19821.76,1651.81,495.54,,,,,,,,,
Lancashire,North West,479.2,2076.53,24918,20111.71,1675.98,502.79,,,,,,,,,
NORTH WEST,North West,492,2132,25584,20564.32,1713.69,514.11,,,,,,,,,
Blackpool,North West,392.4,1700.4,20405,17042.46,1420.21,426.06,,,,,,,,,
Trafford,North West,565.6,2450.93,29411,23166.82,1930.57,579.17,,,,,,,,,
Northumberland,North East,479.6,2078.27,24939,20125.86,1677.15,503.15,,,,,,,,,
Allerdale,North West,533.1,2310.1,27721,22017.62,1834.8,550.44,,,,,,,,,
Pendle,North West,449.5,1947.83,23374,19061.52,1588.46,476.54,,,,,,,,,
Gateshead,North East,483.3,2094.3,25132,20256.69,1688.06,506.42,,,,,,,,,
Copeland,North West,714.4,3095.73,37149,28428.38,2369.03,710.71,,,,,,,,,
Cheshire West and Chester,North West,527.8,2287.13,27446,21830.21,1819.18,545.76,,,,,,,,,
Greater Manchester MC,North West,489,2119,25428,20458.24,1704.85,511.46,,,,,,,,,
Manchester,North West,483.7,2096.03,25152,20270.83,1689.24,506.77,,,,,,,,,
Oldham,North West,444,1924,23088,18867.04,1572.25,471.68,,,,,,,,,
Burnley,North West,421.8,1827.8,21934,18082.05,1506.84,452.05,,,,,,,,,
Eden,North West,456.7,1979.03,23748,19316.11,1609.68,482.9,,,,,,,,,
Chorley,North West,513.5,2225.17,26702,21324.56,1777.05,533.11,,,,,,,,,
Salford,North West,476.7,2065.7,24788,20023.31,1668.61,500.58,,,,,,,,,
Rochdale,North West,463.4,2008.07,24097,19553.02,1629.42,488.83,,,,,,,,,
Stockport,North West,540.1,2340.43,28085,22265.14,1855.43,556.63,,,,,,,,,
Wirral,North West,518.2,2245.53,26946,21490.75,1790.9,537.27,,,,,,,,,
Warrington,North West,545.6,2364.27,28371,22459.62,1871.63,561.49,,,,,,,,,
West Lancashire,North West,503.5,2181.83,26182,20970.96,1747.58,524.27,,,,,,,,,
Bolton,North West,468.9,2031.9,24383,19747.5,1645.63,493.69,,,,,,,,,
South Ribble,North West,482.4,2090.4,25085,20224.86,1685.41,505.62,,,,,,,,,
Halton,North West,484.7,2100.37,25204,20306.19,1692.18,507.65,,,,,,,,,
Fylde,North West,520.1,2253.77,27045,21557.94,1796.49,538.95,,,,,,,,,
Rossendale,North West,481,2084.33,25012,20175.36,1681.28,504.38,,,,,,,,,
Stockton-on-Tees,North East,502.5,2177.5,26130,20935.6,1744.63,523.39,,,,,,,,,
North Tyneside,North East,498.3,2159.3,25912,20787.09,1732.26,519.68,,,,,,,,,
Ribble Valley,North West,542.9,2352.57,28231,22364.14,1863.68,559.1,,,,,,,,,
Knowsley,North West,474.9,2057.9,24695,19959.66,1663.31,498.99,,,,,,,,,
YORKSHIRE AND THE HUMBER,York/Humb,480.5,2082.17,24986,20157.68,1679.81,503.94,,,,,,,,,
East Riding of Yorkshire,York/Humb,501.1,2171.43,26057,20886.1,1740.51,522.15,,,,,,,,,
Kingston upon Hull,York/Humb,445.9,1932.23,23187,18934.22,1577.85,473.36,,,,,,,,,
North East Lincolnshire,York/Humb,448.7,1944.37,23332,19033.23,1586.1,475.83,,,,,,,,,
